secondary_substation_unique_id,latitude,longitude
SSEN-2511010190,51.491988,-0.261049
SSEN-2511010190,51.491988,-0.261049
SSEN-2511010200,51.492803,-0.268586
SSEN-2511010200,51.492803,-0.268586
SSEN-2511011020,51.490402,-0.269348
SSEN-2511011020,51.490402,-0.269348
SSEN-2511011040,51.489955,-0.271296
SSEN-2511011040,51.489955,-0.271296
SSEN-2511011040,51.489955,-0.271296
SSEN-2511011060,51.49011,-0.274545
SSEN-2511011060,51.49011,-0.274545
SSEN-2511011080,51.489902,-0.27814
SSEN-2511011080,51.489902,-0.27814
SSEN-2511011100,51.491239,-0.277902
SSEN-2511011100,51.491239,-0.277902
SSEN-2511011105,51.494072,-0.277759
SSEN-2511011105,51.494072,-0.277759
SSEN-2511011120,51.488816,-0.281335
SSEN-2511011120,51.488816,-0.281335
SSEN-2511011120,51.488816,-0.281335
SSEN-2511011120,51.488816,-0.281335
SSEN-2511011140,51.486349,-0.279311
SSEN-2511011140,51.486349,-0.279311
SSEN-2511011140,51.486349,-0.279311
SSEN-2511011140,51.486349,-0.279311
SSEN-2511011140,51.486349,-0.279311
SSEN-2511011160,51.484506,-0.277493
SSEN-2511011160,51.484506,-0.277493
SSEN-2511011160,51.484506,-0.277493
SSEN-2511011160,51.484506,-0.277493
SSEN-2511012020,51.488036,-0.261329
SSEN-2511012040,51.490247,-0.256448
SSEN-2511012040,51.490247,-0.256448
SSEN-2511012040,51.490247,-0.256448
SSEN-2511012040,51.490247,-0.256448
SSEN-2511012040,51.490247,-0.256448
SSEN-2511012060,51.48511,-0.25565
SSEN-2511012060,51.48511,-0.25565
SSEN-2511012060,51.48511,-0.25565
SSEN-2511012060,51.48511,-0.25565
SSEN-2511012080,51.4839,-0.25234
SSEN-2511012080,51.4839,-0.25234
SSEN-2511012080,51.4839,-0.25234
SSEN-2511012100,51.485159,-0.250492
SSEN-2511012100,51.485159,-0.250492
SSEN-2511012100,51.485159,-0.250492
SSEN-2512002115,51.488024,-0.295837
SSEN-2512002120,51.487868,-0.294334
SSEN-2512002127,51.486486,-0.302279
SSEN-2512002127,51.486486,-0.302279
SSEN-2512002127,51.486486,-0.302279
SSEN-2512002127,51.486486,-0.302279
SSEN-2512002127,51.486486,-0.302279
SSEN-2512002150,51.481256,-0.31002
SSEN-2512002200,51.481671,-0.306318
SSEN-2512002200,51.481671,-0.306318
SSEN-2512002210,51.481874,-0.304208
SSEN-2512002210,51.481874,-0.304208
SSEN-2512002220,51.482355,-0.302029
SSEN-2512002220,51.482355,-0.302029
SSEN-2512002230,51.481203,-0.303815
SSEN-2512002230,51.481203,-0.303815
SSEN-2512003030,51.482702,-0.327422
SSEN-2512003030,51.482702,-0.327422
SSEN-2512003030,51.482702,-0.327422
SSEN-2512003050,51.477393,-0.324088
SSEN-2512003050,51.477393,-0.324088
SSEN-2512003070,51.481185,-0.323244
SSEN-2512003070,51.481185,-0.323244
SSEN-2512003070,51.481185,-0.323244
SSEN-2512003080,51.481776,-0.321796
SSEN-2512003080,51.481776,-0.321796
SSEN-2512003090,51.482778,-0.320161
SSEN-2512003090,51.482778,-0.320161
SSEN-2512003090,51.482778,-0.320161
SSEN-2512003100,51.481,-0.316554
SSEN-2512003100,51.481,-0.316554
SSEN-2512003120,51.481132,-0.314518
SSEN-2512003120,51.481132,-0.314518
SSEN-2512003120,51.481132,-0.314518
SSEN-2512003130,51.484147,-0.317215
SSEN-2512003130,51.484147,-0.317215
SSEN-2512003130,51.484147,-0.317215
SSEN-2512004020,51.489016,-0.309301
SSEN-2512004020,51.489016,-0.309301
SSEN-2512004020,51.489016,-0.309301
SSEN-2512004030,51.486075,-0.306788
SSEN-2512004030,51.486075,-0.306788
SSEN-2512004040,51.48607,-0.31147
SSEN-2512004040,51.48607,-0.31147
