Feeder,Model,Metric,Value
SSEN-281201006001,ARIMA,MAE,11517.049698024486
SSEN-282000446004,ARIMA,MAE,4419.733596963284
SSEN-252801207001,ARIMA,MAE,3538.974598083903
SSEN-280500510004,ARIMA,MAE,3612010.327674285
SSEN-281201005001,ARIMA,MAE,4333.82738822603
SSEN-251200305005,ARIMA,MAE,6556.979214273791
SSEN-251200305002,ARIMA,MAE,3448.51347209286
SSEN-281200252003,ARIMA,MAE,4013.741401063594
SSEN-252801204001,ARIMA,MAE,3692.336773529691
SSEN-280960801501,ARIMA,MAE,4774.713850524102
SSEN-251200807001,ARIMA,MAE,4874.891256110832
SSEN-251200703504,ARIMA,MAE,4378.454639423422
SSEN-281800214001,ARIMA,MAE,3615.6194523235067
SSEN-282202201001,ARIMA,MAE,3568.4306591430222
SSEN-280700612003,ARIMA,MAE,5918.245952873196
SSEN-282202606003,ARIMA,MAE,3319.575792457136
SSEN-281800306003,ARIMA,MAE,3313.1161794928503
SSEN-280700215001,ARIMA,MAE,6917.6075614483525
SSEN-280700215003,ARIMA,MAE,3782.4776303957697
SSEN-251200309004,ARIMA,MAE,3508.717291349346
SSEN-282200504004,ARIMA,MAE,3376.45602976579
SSEN-280460416005,ARIMA,MAE,4902.471700350215
SSEN-282200928005,ARIMA,MAE,6973.459529454521
SSEN-281200232002,ARIMA,MAE,4416.6548961866865
SSEN-281800405001,ARIMA,MAE,3332.352301038229
SSEN-250802301001,ARIMA,MAE,3295.427654584118
SSEN-281800106001,ARIMA,MAE,533271466.1009243
SSEN-281800605502,ARIMA,MAE,3703.541240690375
SSEN-280302216002,ARIMA,MAE,123082.03344789203
SSEN-282201046002,ARIMA,MAE,3397.310615607448
SSEN-282200544002,ARIMA,MAE,3481.5184584051335
SSEN-252600904001,ARIMA,MAE,7225255.172093617
SSEN-251200810001,ARIMA,MAE,6874.314618442421
SSEN-251200406004,ARIMA,MAE,3380.569652218031
SSEN-281800409004,ARIMA,MAE,6065.111338009794
SSEN-280300620001,ARIMA,MAE,3770.817679899247
SSEN-282000452002,ARIMA,MAE,5116.846049533882
SSEN-251200312002,ARIMA,MAE,6083.368370332483
SSEN-251200312001,ARIMA,MAE,3429.221333385488
SSEN-250101712503,ARIMA,MAE,3602.393281409876
SSEN-280300708003,ARIMA,MAE,3295.931365637309
SSEN-280300708001,ARIMA,MAE,3832.539725150963
SSEN-251101002005,ARIMA,MAE,3664.3074642221563
SSEN-281800130001,ARIMA,MAE,4351.607272034776
SSEN-280460406001,ARIMA,MAE,4456.795158956998
SSEN-280700301001,ARIMA,MAE,5016.529809245665
SSEN-280700614003,ARIMA,MAE,6786.071491507271
SSEN-280301604902,ARIMA,MAE,5658.035190842708
SSEN-281800910004,ARIMA,MAE,4704.2241795915315
SSEN-281600508001,ARIMA,MAE,4197.34066851075
SSEN-280800129502,ARIMA,MAE,3542.7162043370336
SSEN-252601001004,ARIMA,MAE,4989.733371975571
SSEN-250101703502,ARIMA,MAE,7546.099476557206
SSEN-250101703503,ARIMA,MAE,4835.804385359599
SSEN-281601102002,ARIMA,MAE,3367.942225094709
SSEN-282200522001,ARIMA,MAE,4800.754116213192
SSEN-282200922005,ARIMA,MAE,3356.18454650491
SSEN-251100402005,ARIMA,MAE,4519.18185794839
SSEN-251100906004,ARIMA,MAE,4734.906592970662
SSEN-251100205504,ARIMA,MAE,6420.950093066594
SSEN-280300108003,ARIMA,MAE,3994.6969544319827
SSEN-281800618003,ARIMA,MAE,3650.827584326108
SSEN-280300703502,ARIMA,MAE,3463.3401435738915
SSEN-280700402004,ARIMA,MAE,5860.3441932828555
SSEN-281800116001,ARIMA,MAE,3392.9736543090453
SSEN-281600509003,ARIMA,MAE,4423.147153109937
SSEN-280700506001,ARIMA,MAE,3383.6388783686393
SSEN-282201017003,ARIMA,MAE,4216.828545654968
SSEN-280700212002,ARIMA,MAE,3266.8608204202824
SSEN-280800715004,ARIMA,MAE,3468.6013934275115
SSEN-251101008002,ARIMA,MAE,3416.0696133629135
SSEN-250802304003,ARIMA,MAPE,85.5806859544514
SSEN-282201110004,ARIMA,MAPE,82.1768556943835
SSEN-252900929002,ARIMA,MAPE,80.72826528139512
SSEN-280700102002,ARIMA,MAPE,82.20994908007877
SSEN-282200916001,ARIMA,MAPE,114.83749951780855
SSEN-280301014003,ARIMA,MAPE,129.04800144780967
SSEN-252901206003,ARIMA,MAPE,87.85676785532573
SSEN-280460404005,ARIMA,MAPE,76.80445938838264
SSEN-280800604002,ARIMA,MAPE,75.92893912908765
SSEN-281601008001,ARIMA,MAPE,106.34721167020211
SSEN-281101326002,ARIMA,MAPE,60.640465736085204
SSEN-251101210004,ARIMA,MAPE,62.951172909597105
SSEN-280961003403,ARIMA,MAPE,101.60686943181719
SSEN-251200403001,ARIMA,MAPE,129.37813545032188
SSEN-280800127504,ARIMA,MAPE,81.11042925778276
SSEN-280300408003,ARIMA,MAPE,75.31168523993142
SSEN-251201204002,ARIMA,MAPE,234.80965596093358
SSEN-251100913003,ARIMA,MAPE,249.207339579855
SSEN-282201018004,ARIMA,MAPE,60.84977087840176
SSEN-251200711504,ARIMA,MAPE,146.23041023534512
SSEN-282200520001,ARIMA,MAPE,87.84087615439967
SSEN-251201414004,ARIMA,MAPE,69.25146836483266
SSEN-252900231002,ARIMA,MAPE,74.94421017292741
SSEN-282202618003,ARIMA,MAPE,61.59184676144428
SSEN-280300520003,ARIMA,MAPE,66.57489727670897
SSEN-281601004002,ARIMA,MAPE,103.72511374870388
SSEN-281601004001,ARIMA,MAPE,75.70403705495681
SSEN-280300218004,ARIMA,MAPE,108.5196543174787
SSEN-251100616001,ARIMA,MAPE,91.05522492061378
SSEN-251201402004,ARIMA,MAPE,88.29015637034976
SSEN-251201402003,ARIMA,MAPE,67.70136541735441
SSEN-251201402005,ARIMA,MAPE,70.21510485140658
SSEN-251201403002,ARIMA,MAPE,75.80473211786494
SSEN-282200825101,ARIMA,MAPE,88.82296089352548
SSEN-250101612501,ARIMA,MAPE,72.20658476933266
SSEN-250101612503,ARIMA,MAPE,92.21542963278554
SSEN-281600602005,ARIMA,MAPE,67181.00664443354
SSEN-252901118002,ARIMA,MAPE,78.26205211771611
SSEN-280960804502,ARIMA,MAPE,88.35803343538838
SSEN-280960804501,ARIMA,MAPE,67.54015930648278
SSEN-280700508002,ARIMA,MAPE,85.91584346356355
SSEN-251100504002,ARIMA,MAPE,107.26582841169801
SSEN-280960203002,ARIMA,MAPE,90.0565323713735
SSEN-281800724002,ARIMA,MAPE,78.60132233861249
SSEN-251201301002,ARIMA,MAPE,174062.5552828523
SSEN-280960405305,ARIMA,MAPE,109.54453771112036
SSEN-280301812001,ARIMA,MAPE,200.39479617557686
SSEN-280301238001,ARIMA,MAPE,61.96369396263302
SSEN-282202615003,ARIMA,MAPE,93.49638100240337
SSEN-280302212004,ARIMA,MAPE,94.07043545713046
