Feeder,Model,MSE,RMSE,MAE,MAPE,R2
SSEN-280301612001,ARIMA,3606011.9198053777,1898.9502151992763,1607.1969040019137,30.548174913042843,0.28862860166485427
SSEN-280301612001,Boosting,8868521.991841896,2978.0063787443264,2341.5820751315314,44.49666110481914,-0.7495263550995299
SSEN-280301612001,Prophet,5705376.920136649,2388.5930838333784,2076.7765028725144,41.02229080591469,-0.12552094889517917
SSEN-280301242001,Naive,1928611.298657718,1388.7445044563517,1169.9429530201342,42.9177251496542,-0.09208260688249847
SSEN-280301242002,Naive,6425083.446308725,2534.774831480841,2096.748322147651,42.47404998106192,-0.016718811051754656
SSEN-280301242001,Mean (1 day),2093879.1093546096,1447.024225558995,1225.1633109619686,46.19637599806336,-0.18566605817993698
SSEN-280301242002,Mean (1 day),6467380.999921351,2543.1045986984786,2130.181208053691,38.76838131398292,-0.02341206550966124
SSEN-280301242001,Persistence,2509623.1711409395,1584.179021178143,1141.4731543624162,33.9430697929834,-0.4210825255145052
SSEN-280301242002,Persistence,2963643.5939597315,1721.523625733824,1335.8758389261745,21.514977199212968,0.5310267615336581
SSEN-280301242002,ARIMA,2080577.4215201463,1442.420681188448,1078.406386666407,16.23809487493612,0.670765022744664
SSEN-280301242001,ARIMA,904708.7413199171,951.1617850397046,818.342045059008,28.328813611629382,0.48770564531189753
SSEN-280301242002,Boosting,3450996.2632424277,1857.6857277920901,1484.2083659836028,24.24802825633037,0.4539070430713754
SSEN-280301242002,Prophet,2412928.9958435455,1553.3605492104998,1176.1099119980722,17.438840483850502,0.6181730057971804
SSEN-280301242001,Boosting,729385.3517592262,854.0406031092587,664.66344356617,20.223771547615524,0.5869831018176089
SSEN-280301242001,Prophet,1342659.8642222388,1158.732007075941,968.7116623136409,34.6426972731335,0.23971435524781926
SSEN-282201002001,Naive,70368849.44966443,8388.614274697844,7691.167785234899,56.27400774576656,-5.189579038891731
SSEN-282201002001,Mean (1 day),11370738.01376072,3372.052492735058,2770.2581096196873,19.008088685091657,-0.0001596191656700885
SSEN-282201002002,Naive,13118732.818791946,3621.979130087851,3224.9060402684563,55.77384753783225,-3.0692018226940885
SSEN-282201002001,Persistence,9745330.661073826,3121.751217037294,2502.6610738255035,16.253976758495625,0.14280971113505825
SSEN-282201002002,Mean (1 day),3551044.620097525,1884.4215611421785,1541.827600671141,22.319649527654953,-0.10147202783717657
SSEN-282201002003,Naive,7326952.959731543,2706.834490642445,2314.0805369127515,33.10311710776326,-0.6125047835729092
